#Replace H(number) as necessary according to simulated annealing

set P :=  H5, D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20, A21, A22, A23; #Everyplace includes restaurants and attractions 

set R := D1, D2, D3, D4, D5, D6, D7, D8, D9, D10; #Restaurants

# set A := A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20, A21, A22, A23; #Attractions 

set H := H5; #Hotel

set RA := D1, D2, D3, D4, D5, D6, D7, D8, D9, D10,A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20, A21, A22, A23; #Restaurants and Attractions

param A:= 
	H1		0
	H2		0
	H3		0
	H4		0
	H5		0
	D1		0
	D2		0
	D3		0
	D4		0
	D5		0
	D6		0
	D7		0
	D8		0
	D9		0
	D10		0
	A1		1
	A2		1
	A3		1
	A4		1
	A5		1
	A6		1 
	A7		1
	A8		1
	A9		1
	A10		1
	A11		1
	A12		1
	A13		1
	A14		1
	A15		1
	A16		1
	A17		1
	A18		1
	A19		1
	A20		1
	A21		1
	A22		1 
	A23		1; # 1{Place is an attraction}

param o :=
	A1		0
	A2		0
	A3		1
	A4		0
	A5		0
	A6		1
	A7		1
	A8		1
	A9		0
	A10		1
	A11		1
	A12		0
	A13		1
	A14		1
	A15		1
	A16		0
	A17 	1
	A18		1
	A19		1
	A20		1
	A21		0
	A22		0
	A23		0 
	H1		0
	H2		0
	H3		0
	H4		0
	H5		0
	D1		0
	D2		0
	D3		0
	D4		0
	D5		0
	D6		0
	D7		0
	D8		0
	D9		0
	D10		0; # 1{Place is outdoor}
	
param C :=
	A1		1
	A2		1
	A3		1
	A4		1
	A5		1
	A6		1
	A7		1
	A8		0
	A9		0
	A10		0
	A11		0
	A12		0
	A13		0
	A14		0
	A15		0
	A16		0
	A17 	0
	A18		0
	A19		0
	A20		0
	A21		0
	A22		0
	A23		0 
	H1		1
	H2		0
	H3		0
	H4		0
	H5		0
	D1		1
	D2		1
	D3		1
	D4		0
	D5		0
	D6		0
	D7		0
	D8		0
	D9		0
	D10		0; # 1{Place is in Central}
	
param W :=
	H1		0
	H2		1		
	H3		0	
	H4		0
	H5		0
	D1		0		
	D2		0
	D3		0
	D4		0
	D5		0
	D6		0
	D7		0
	D8		0
	D9		1
	D10		1
	A1		0
	A2		0
	A3		0
	A4		0
	A5		0
	A6		0
	A7		0
	A8		0
	A9		0
	A10		0
	A11		0
	A12		0
	A13		0
	A14		0
	A15		0
	A16		0
	A17 	0
	A18		0
	A19		1
	A20		1
	A21		1
	A22		1
	A23		1;   # 1{Place is in the west}

param E :=
	H1		0
	H2		0
	H3		1
	H4		0
	H5		0
	D1		0		
	D2		0
	D3		0
	D4		1
	D5		1
	D6		0
	D7		0
	D8		0
	D9		0
	D10		0
	A1		0
	A2		0
	A3		0
	A4		0
	A5		0
	A6		0
	A7		0
	A8		1
